algorithm,dataset_type,size,rank_label,k,trial_count,median_time_seconds,mean_time_seconds,standard_deviation_seconds,minimum_time_seconds,maximum_time_seconds,comparisons,swaps,partition_calls,pivot_selections,recursive_calls,maximum_depth,groups_processed,small_group_sorts,status,error_message
Randomized Quickselect,reverse_sorted,5000,p90,4500,5,0.001268959000299219,0.0012698834034381434,4.492687602204468e-06,0.0012627080068341456,0.0012749580055242404,12993,5625,15,15,15,15,0,0,completed,
Randomized Quickselect,reverse_sorted,7000,minimum,1,5,0.0026332079942221753,0.002632191799057182,1.6449609806037576e-05,0.0026137919994653203,0.002656165997905191,28249,12579,14,14,15,15,0,0,completed,
Randomized Quickselect,reverse_sorted,7000,median,3500,5,0.002887082999222912,0.0028885250008897855,3.2368270455617284e-06,0.0028851670067524537,0.0028941249984200113,33177,15338,10,10,10,10,0,0,completed,
Randomized Quickselect,reverse_sorted,7000,p90,6300,5,0.002481458999682218,0.0024850916001014412,6.872456435535647e-06,0.0024794159980956465,0.0024983330004033633,29410,8092,17,17,17,17,0,0,completed,
Randomized Quickselect,reverse_sorted,10000,minimum,1,5,0.003125999995972961,0.003127966598549392,1.688592895951997e-05,0.003109457997197751,0.0031539170013274997,34058,14291,15,15,16,16,0,0,completed,
Randomized Quickselect,reverse_sorted,10000,median,5000,5,0.006549249999807216,0.006533916598709766,3.409164520169743e-05,0.006482833996415138,0.006575790997885633,79236,31475,17,17,18,18,0,0,completed,
Randomized Quickselect,reverse_sorted,10000,p90,9000,5,0.003171791999193374,0.00317511659959564,1.529862283419972e-05,0.003154957994411234,0.0031971249991329387,35820,16716,15,15,15,15,0,0,completed,
Randomized Quickselect,repeated_values,100,minimum,1,5,3.2500000088475645e-05,3.207520057912916e-05,9.543888656761155e-07,3.0625000363215804e-05,3.308399755042046e-05,250,114,3,3,3,3,0,0,completed,
Randomized Quickselect,repeated_values,100,median,50,5,3.304100391687825e-05,3.311680047772825e-05,1.8917034812343338e-07,3.2916999771259725e-05,3.345900040585548e-05,310,147,2,2,2,2,0,0,completed,
Randomized Quickselect,repeated_values,100,p90,90,5,3.3166004868689924e-05,3.314980131108314e-05,1.3584722890212402e-07,3.295799979241565e-05,3.333299537189305e-05,270,122,4,4,4,4,0,0,completed,
Randomized Quickselect,repeated_values,1000,minimum,1,5,0.0003389170014997944,0.00034049139940179886,2.256221310725378e-06,0.00033849999454105273,0.0003436659972066991,3400,2084,3,3,3,3,0,0,completed,
Randomized Quickselect,repeated_values,1000,median,500,5,0.00036370899761095643,0.00036471679923124614,2.238261767978201e-06,0.0003633329979493283,0.0003691669990075752,4000,2086,5,5,5,5,0,0,completed,
Randomized Quickselect,repeated_values,1000,p90,900,5,0.0003283749974798411,0.0003294334019301459,2.166454298728169e-06,0.000327833004121203,0.00033366600109729916,3900,1793,4,4,4,4,0,0,completed,
Randomized Quickselect,repeated_values,3500,minimum,1,5,0.0011878330042236485,0.0011883166007464752,1.091423288904612e-05,0.0011769579941756092,0.001207375004014466,12250,6984,5,5,5,5,0,0,completed,
Randomized Quickselect,repeated_values,3500,median,1750,5,0.001421625005605165,0.001426608202746138,1.0044330538641607e-05,0.0014174160023685545,0.0014452079994953237,17150,8389,5,5,5,5,0,0,completed,
Randomized Quickselect,repeated_values,3500,p90,3150,5,0.000928000001295004,0.000931233202572912,6.163563762224839e-06,0.0009233750024577603,0.0009388750040670857,9800,4894,3,3,3,3,0,0,completed,
Randomized Quickselect,repeated_values,5000,minimum,1,5,0.0010236250018351711,0.0010251250001601874,8.513486447598836e-06,0.0010167920045205392,0.0010407079971628264,11500,4997,3,3,3,3,0,0,completed,
Randomized Quickselect,repeated_values,5000,median,2500,5,0.0013825419955537654,0.0013871584000298754,7.178491368634495e-06,0.001380291003442835,0.0013995420013088733,14000,7490,4,4,4,4,0,0,completed,
